Date,UserID,JobID,Event
2022/1/10 10:23,733,44,summary
2022/1/10 10:25,733,44,detail_description
2022/1/10 10:27,172,473,summary
2022/1/10 10:28,172,473,detail_description
2022/1/10 10:31,474,55,summary
2022/1/10 10:31,474,55,detail_description
2022/1/10 10:33,474,55,view_similar_positions
2022/1/10 10:36,1242,486,summary
2022/1/10 10:39,1242,486,detail_description
2022/1/10 10:41,1242,486,view_employer_profile
2022/1/10 10:44,1319,161,summary
2022/1/10 10:45,1148,486,summary
2022/1/10 10:45,1319,161,detail_description
2022/1/10 10:46,1319,161,view_employer_profile
2022/1/10 10:46,1319,161,view_similar_positions
2022/1/10 10:48,1148,486,detail_description
2022/1/10 11:23,1730,397,summary
2022/1/10 11:25,1730,397,detail_description
2022/1/10 11:37,1183,157,summary
2022/1/10 11:37,1183,157,detail_description
2022/1/10 11:45,138,418,summary
2022/1/10 11:45,138,418,detail_description
2022/1/10 11:47,941,121,summary
2022/1/10 11:47,941,121,detail_description
2022/1/10 11:47,138,418,view_similar_positions
2022/1/10 11:48,941,121,view_employer_profile
2022/1/10 12:13,1162,60,summary
2022/1/10 12:15,1162,60,detail_description
2022/1/10 12:16,1162,60,view_similar_positions
2022/1/10 12:31,911,557,summary
2022/1/10 12:32,911,557,detail_description
2022/1/10 12:33,254,93,summary
2022/1/10 12:34,911,557,view_similar_positions
2022/1/10 12:34,254,93,detail_description
2022/1/10 12:43,1793,497,summary
2022/1/10 12:46,1793,497,detail_description
2022/1/10 12:48,1793,497,view_employer_profile
2022/1/10 12:48,1793,497,view_similar_positions
2022/1/10 12:49,1415,159,summary
2022/1/10 12:49,1415,159,detail_description
2022/1/10 12:53,256,303,summary
2022/1/10 12:55,256,303,detail_description
2022/1/10 12:56,256,303,view_similar_positions
2022/1/10 13:20,1559,475,summary
2022/1/10 13:21,1559,475,detail_description
2022/1/10 13:29,1283,586,summary
2022/1/10 13:32,1283,586,detail_description
2022/1/10 13:35,1283,586,view_employer_profile
2022/1/10 13:36,1283,586,view_similar_positions
2022/1/10 14:09,571,455,summary
2022/1/10 14:10,571,455,detail_description
2022/1/10 14:55,647,252,summary
2022/1/10 14:57,1198,591,summary
2022/1/10 14:57,8,165,summary
2022/1/10 14:57,647,252,detail_description
2022/1/10 14:59,647,252,view_employer_profile
2022/1/10 14:59,1198,591,detail_description
2022/1/10 14:59,8,165,detail_description
2022/1/10 15:01,1198,591,view_similar_positions
2022/1/10 15:05,837,595,summary
2022/1/10 15:07,837,595,detail_description
2022/1/10 15:15,656,351,summary
2022/1/10 15:16,656,351,detail_description
2022/1/10 15:19,281,344,summary
2022/1/10 15:21,960,365,summary
2022/1/10 15:21,281,344,detail_description
2022/1/10 15:22,55,407,summary
2022/1/10 15:22,281,344,view_similar_positions
2022/1/10 15:22,960,365,detail_description
2022/1/10 15:23,55,407,detail_description
2022/1/10 15:25,55,407,view_similar_positions
2022/1/10 15:43,1674,367,summary
2022/1/10 15:46,1674,367,detail_description
2022/1/10 15:48,1674,367,view_employer_profile
2022/1/10 15:50,547,271,summary
2022/1/10 15:53,547,271,detail_description
2022/1/10 15:54,1111,456,summary
2022/1/10 15:56,547,271,view_employer_profile
2022/1/10 15:56,1757,21,summary
2022/1/10 15:57,1111,456,detail_description
2022/1/10 15:57,547,271,view_similar_positions
2022/1/10 15:59,1757,21,detail_description
2022/1/10 16:00,1111,456,view_similar_positions
2022/1/10 16:00,1757,21,view_employer_profile
2022/1/10 16:02,291,169,summary
2022/1/10 16:02,291,169,detail_description
2022/1/10 16:05,291,169,view_employer_profile
2022/1/10 16:09,1349,489,summary
2022/1/10 16:11,1349,489,detail_description
2022/1/10 16:20,1516,586,summary
2022/1/10 16:21,1516,586,detail_description
2022/1/10 16:34,983,84,summary
2022/1/10 16:34,983,84,detail_description
2022/1/10 16:36,983,84,view_similar_positions
2022/1/10 16:38,1796,498,summary
2022/1/10 16:40,1796,498,detail_description
2022/1/10 16:41,109,334,summary
2022/1/10 16:41,1796,498,view_similar_positions
2022/1/10 16:42,109,334,detail_description
2022/1/10 16:44,109,334,view_employer_profile
2022/1/10 16:46,1652,122,summary
2022/1/10 16:47,1652,122,detail_description
2022/1/10 16:49,1652,122,view_similar_positions
2022/1/10 16:51,498,326,summary
2022/1/10 16:53,498,326,detail_description
2022/1/10 16:57,866,511,summary
2022/1/10 17:00,866,511,detail_description
2022/1/10 17:02,866,511,view_similar_positions
2022/1/10 17:10,377,90,summary
2022/1/10 17:11,377,90,detail_description
2022/1/10 17:13,377,90,view_employer_profile
2022/1/10 17:13,1544,193,summary
2022/1/10 17:15,1544,193,detail_description
2022/1/10 17:18,1544,193,view_similar_positions
2022/1/10 17:37,1106,110,summary
2022/1/10 17:39,1106,110,detail_description
2022/1/10 17:40,1106,110,view_employer_profile
2022/1/10 17:55,678,215,summary
2022/1/10 17:57,678,215,detail_description
2022/1/10 17:59,678,215,view_similar_positions
2022/1/10 18:26,600,430,summary
2022/1/10 18:27,600,430,detail_description
2022/1/10 18:28,353,279,summary
2022/1/10 18:29,353,279,detail_description
2022/1/10 18:36,161,409,summary
2022/1/10 18:38,161,409,view_similar_positions
2022/1/10 18:40,819,1,summary
2022/1/10 18:41,1514,460,summary
2022/1/10 18:41,819,1,detail_description
2022/1/10 18:43,819,1,view_similar_positions
2022/1/10 18:43,1514,460,detail_description
2022/1/10 18:46,691,431,summary
2022/1/10 18:48,691,431,detail_description
2022/1/10 18:51,691,431,view_similar_positions
2022/1/10 18:54,1400,108,summary
2022/1/10 18:56,1400,108,detail_description
2022/1/10 18:59,1400,108,view_employer_profile
2022/1/10 19:35,1290,169,summary
2022/1/10 19:36,1290,169,detail_description
2022/1/10 19:38,1290,169,view_similar_positions
2022/1/10 19:51,28,126,summary
2022/1/10 19:51,28,126,detail_description
2022/1/10 19:54,28,126,view_similar_positions
2022/1/10 20:19,1300,229,summary
2022/1/10 20:21,1300,229,detail_description
2022/1/10 20:22,317,521,summary
2022/1/10 20:23,317,521,detail_description
2022/1/10 20:24,1300,229,view_employer_profile
2022/1/10 20:24,317,521,view_similar_positions
2022/1/10 20:24,1794,566,summary
2022/1/10 20:27,1794,566,detail_description
2022/1/10 20:30,1794,566,view_employer_profile
2022/1/10 20:33,1712,265,summary
2022/1/10 20:35,1712,265,detail_description
2022/1/10 20:36,1712,265,view_similar_positions
2022/1/10 20:53,861,597,summary
2022/1/10 20:56,861,597,detail_description
2022/1/10 20:57,861,597,view_employer_profile
2022/1/10 20:59,861,597,view_similar_positions
2022/1/10 21:06,465,412,summary
2022/1/10 21:08,465,412,detail_description
2022/1/10 21:08,465,412,view_similar_positions
2022/1/10 21:27,70,528,summary
2022/1/10 21:28,1723,397,summary
2022/1/10 21:30,70,528,detail_description
2022/1/10 21:31,1723,397,detail_description
2022/1/10 21:31,1723,397,view_similar_positions
2022/1/10 21:32,70,528,view_employer_profile
2022/1/10 21:35,978,116,summary
2022/1/10 21:48,83,356,summary
2022/1/10 21:49,83,356,detail_description
2022/1/10 21:50,83,356,view_similar_positions
2022/1/10 22:37,684,188,summary
2022/1/10 22:38,684,188,detail_description
2022/1/10 22:58,1212,458,summary
2022/1/10 23:01,1212,458,detail_description
2022/1/10 23:02,1170,198,summary
2022/1/10 23:03,1170,198,detail_description
2022/1/10 23:05,574,488,summary
2022/1/10 23:07,574,488,detail_description
2022/1/10 23:17,1790,397,summary
2022/1/10 23:19,1790,397,detail_description
2022/1/10 23:27,1371,329,summary
2022/1/10 23:28,1371,329,detail_description
2022/1/10 23:31,1371,329,view_employer_profile
2022/1/10 23:32,1371,329,view_similar_positions
2022/1/10 23:45,849,475,summary
2022/1/10 23:48,849,475,detail_description
2022/1/10 23:50,849,475,view_similar_positions
2022/1/11 0:05,1693,553,summary
2022/1/11 0:05,1693,553,detail_description
2022/1/11 0:08,875,100,summary
2022/1/11 0:08,875,100,detail_description
2022/1/11 0:11,875,100,view_employer_profile
2022/1/11 0:21,446,506,summary
2022/1/11 0:23,446,506,detail_description
2022/1/11 0:25,777,117,summary
2022/1/11 0:28,777,117,detail_description
2022/1/11 0:28,277,471,summary
2022/1/11 0:29,277,471,detail_description
2022/1/11 0:32,70,172,summary
2022/1/11 0:32,12,9,summary
2022/1/11 0:32,621,122,summary
2022/1/11 0:33,70,172,detail_description
2022/1/11 0:34,12,9,detail_description
2022/1/11 0:35,621,122,detail_description
2022/1/11 0:44,1048,317,summary
2022/1/11 0:45,1048,317,detail_description
2022/1/11 0:53,1201,178,summary
2022/1/11 0:54,1201,178,detail_description
2022/1/11 0:56,1201,178,view_similar_positions
2022/1/11 1:14,1188,72,summary
2022/1/11 1:16,1188,72,detail_description
2022/1/11 1:26,1256,390,summary
2022/1/11 1:26,1256,390,detail_description
2022/1/11 1:27,1256,390,view_similar_positions
2022/1/11 1:28,1392,267,summary
2022/1/11 1:29,1392,267,detail_description
2022/1/11 1:30,1768,36,summary
2022/1/11 1:32,1768,36,detail_description
2022/1/11 1:40,468,523,summary
2022/1/11 1:40,468,523,detail_description
2022/1/11 1:41,468,523,view_similar_positions
2022/1/11 1:48,761,43,summary
2022/1/11 1:52,690,156,summary
2022/1/11 1:53,690,156,detail_description
2022/1/11 1:53,690,156,view_employer_profile
2022/1/11 2:19,1671,42,summary
2022/1/11 2:21,1671,42,detail_description
2022/1/11 2:30,543,317,summary
2022/1/11 2:31,1007,161,summary
2022/1/11 2:33,543,317,view_similar_positions
2022/1/11 2:34,1007,161,detail_description
2022/1/11 2:35,1007,161,view_employer_profile
2022/1/11 2:49,724,112,summary
2022/1/11 2:52,724,112,detail_description
2022/1/11 2:58,1098,183,summary
2022/1/11 3:01,1098,183,detail_description
2022/1/11 3:02,1098,183,view_similar_positions
2022/1/11 3:02,1588,202,summary
2022/1/11 3:02,1588,202,detail_description
2022/1/11 3:04,788,275,summary
2022/1/11 3:05,1588,202,view_employer_profile
2022/1/11 3:11,356,388,summary
2022/1/11 3:11,356,388,detail_description
2022/1/11 3:13,356,388,view_employer_profile
2022/1/11 3:14,356,388,view_similar_positions
2022/1/11 3:15,234,455,summary
2022/1/11 3:17,234,455,detail_description
